duration(s),mode(str),current(A),voltage(V),cutoff_current(A),step_name(str),heater_voltage(V),heater_current(A),VSYS_state(str)
60.0,REST,,,,60s_rest,,,OFF
60.0,REST,,,,VSYS_ON,,,ON
60.0,REST,,,,HEATER_ON,15.0,2.0,OFF
60.0,REST,,,,60s_rest,,,OFF
3600.0,DISCHARGE,2.0,18,1.0,2A_discharge_to_18V,,,OFF
3600.0,CHARGE,2.0,19.0,0.5,2A_charge_to_19V,,,OFF
60.0,REST,,,,60s_rest,,,OFF
3.0,DISCHARGE,28.0,13,1.0,28A_discharge_pulse,,,OFF
1000.0,DISCHARGE,2.0,15,1.0,2A_discharge_for_1000s,,,OFF
60.0,REST,,,,60s_rest,,,OFF
