duration(s),mode(str),current(A),voltage(V),cutoff_current(A),thermal_system_on(str),temperature_setpoint(degC),step_name(str)
5000.0,CHARGE,27,58.8,0.3,ON,35.0,1C_charge_to_100_percent
600.0,REST,,,,ON,37.0,10min_rest
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_1of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_1of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_2of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_2of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_3of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_3of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_4of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_4of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_5of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_5of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_6of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_6of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_7of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_7of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_8of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_8of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_9of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_9of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_10of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_10of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_11of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_11of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_12of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_12of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_13of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_13of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_14of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_14of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_15of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_15of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_16of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_16of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_17of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_17of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_18of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_18of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_19of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_19of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_20of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_20of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_21of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_21of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_22of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_22of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_23of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_23of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_24of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_24of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_25of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_25of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_26of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_26of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_27of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_27of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_28of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_28of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_29of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_29of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_30of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_30of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_31of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_31of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_32of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_32of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_33of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_33of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_34of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_34of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_35of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_35of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_36of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_36of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_37of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_37of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_38of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_38of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_39of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_39of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_40of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_40of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_41of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_41of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_42of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_42of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_43of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_43of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_44of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_44of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_45of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_45of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_46of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_46of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_47of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_47of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_48of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_48of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_49of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_49of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_50of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_50of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_51of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_51of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_52of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_52of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_53of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_53of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_54of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_54of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_55of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_55of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_56of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_56of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_57of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_57of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_58of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_58of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_59of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_59of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_60of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_60of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_61of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_61of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_62of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_62of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_63of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_63of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_64of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_64of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_65of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_65of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_66of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_66of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_67of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_67of68
18.0,DISCHARGE,27,37.0,1.0,ON,35.0,1C_pulse_68of68
6.0,DISCHARGE,108,37.0,1.0,ON,35.0,4C_pulse_68of68
1800.0,REST,,,,ON,35.0,30min_rest
5000.0,CHARGE,27,58.8,0.3,ON,35.0,1C_charge_to_100_percent
1800.0,REST,,,,OFF,35.0,30min_rest
30000,DISCHARGE,5.4,37.0,0.3,OFF,35.0,c/5_discharge_to_0_percent
1800.0,REST,,,,OFF,35.0,30min_rest
30000,CHARGE,5.4,58.8,0.3,OFF,35.0,c/5_charge_to_100_percent
1800.0,REST,,,,OFF,35.0,30min_rest
3600.0,DISCHARGE,27,50.0,5.0,OFF,35.0,1C_discharge_to_50V
